concept_id,category,data_value,gest_value
4242724,SB,0,
4075165,DELIV,0,
4278225,DELIV,0,
4306288,SB,0,
42535052,DELIV,0,
4217642,DELIV,0,
42538805,SB,0,
44513747,DELIV,0,
44783183,ECT,0,
4336090,LB,0,
42537768,ECT,0,
42872805,DELIV,0,
45757166,LB,0,
4015163,SB,0,
3662128,DELIV,0,
4097427,LB,0,
44181244,CONTRA,0,
44181245,CONTRA,0,
44181254,CONTRA,0,
44181329,CONTRA,0,
44182379,CONTRA,0,
44182380,CONTRA,0,
44182381,CONTRA,0,
44182629,CONTRA,0,
41356225,CONTRA,0,
41356226,CONTRA,0,
41356433,CONTRA,0,
41356757,CONTRA,0,
41357125,CONTRA,0,
41357126,CONTRA,0,
41357679,CONTRA,0,
41357680,CONTRA,0,
41357886,CONTRA,0,
41358775,CONTRA,0,
41360047,CONTRA,0,
41382522,CONTRA,0,
41382523,CONTRA,0,
41382541,CONTRA,0,
41382542,CONTRA,0,
41382576,CONTRA,0,
41382584,CONTRA,0,
41382585,CONTRA,0,
41382603,CONTRA,0,
41382651,CONTRA,0,
41382652,CONTRA,0,
41382679,CONTRA,0,
43745767,CONTRA,0,
43745768,CONTRA,0,
43745770,CONTRA,0,
43745772,CONTRA,0,
43745773,CONTRA,0,
43746236,CONTRA,0,
43746237,CONTRA,0,
43746238,CONTRA,0,
43748162,CONTRA,0,
43748164,CONTRA,0,
43748165,CONTRA,0,
43748166,CONTRA,0,
43748167,CONTRA,0,
43748168,CONTRA,0,
43748590,CONTRA,0,
43748591,CONTRA,0,
43748592,CONTRA,0,
43748593,CONTRA,0,
43748595,CONTRA,0,
43751291,CONTRA,0,
43751307,CONTRA,0,
43754737,CONTRA,0,
43762270,CONTRA,0,
43762271,CONTRA,0,
43763363,CONTRA,0,
43763364,CONTRA,0,
43763365,CONTRA,0,
43763366,CONTRA,0,
43763367,CONTRA,0,
43763368,CONTRA,0,
43763370,CONTRA,0,
43763371,CONTRA,0,
43763372,CONTRA,0,
43763373,CONTRA,0,
43763374,CONTRA,0,
43763375,CONTRA,0,
43763376,CONTRA,0,
43763378,CONTRA,0,
43763379,CONTRA,0,
43763380,CONTRA,0,
43763381,CONTRA,0,
43763382,CONTRA,0,
43763384,CONTRA,0,
43763385,CONTRA,0,
43763387,CONTRA,0,
43763389,CONTRA,0,
43763391,CONTRA,0,
43763394,CONTRA,0,
43763395,CONTRA,0,
43763396,CONTRA,0,
43763397,CONTRA,0,
43763398,CONTRA,0,
43763399,CONTRA,0,
43763400,CONTRA,0,
43763401,CONTRA,0,
43763402,CONTRA,0,
43763404,CONTRA,0,
43763405,CONTRA,0,
43763406,CONTRA,0,
43763407,CONTRA,0,
43763408,CONTRA,0,
43763409,CONTRA,0,
43763410,CONTRA,0,
